IA	Company	Application website	Business description	Company size (band)	Software engineer salary range (Greater Vancouver approximate total comp)	Work arrangement
Grok	2K	https://www.2k.com/en-US/careers	Video game publisher	3	110,000 - 200,000	Hybrid
Deep Seek	2K (Take-Two)	take2games.com/careers	Video game development (NBA 2K, BioShock)	500-1,000 employees	$110,000 - $185,000	On-site
Gemini	AbCellera	abcellera.com/careers	A biotech company using an AI-powered platform for antibody discovery. Employs many software engineers.	500+	$100,000 - $170,000	On-site/Hybrid
Chat GPT	Accenture	https://www.accenture.com/us-en/careers	Large professional services & consulting firm — big tech consulting/engineering hiring in Vancouver.	Large (10k+)	CA$80k-CA$180k (consulting & engineering pay varies widely)	Hybrid / client & project dependent.
Deep Seek	Adobe	adobe.com/careers	Creative software (Photoshop, Premiere Pro) and digital experience tools	300+ employees	$140,000 - $230,000	Hybrid
Chat GPT	Amazon	https://www.amazon.jobs/location/vancouvervictoria-canada/	Global e-commerce & cloud giant (AWS, Prime, Ads, Devices). Large Vancouver tech hub.	Large (10k+)	CA$115k-CA$396k (varies by level; L4-L7).	Hybrid/in-office (team dependent).
Claude	Amazon	amazon.jobs	E-commerce, cloud computing (AWS)	1,500,000+	$120K-$220K+	Hybrid
Grok	Amazon	https://www.amazon.jobs/en	Online retail and cloud services giant	1500000	150,000 - 300,000	Hybrid
Gemini	Amazon	amazon.jobs	E-commerce, cloud computing (AWS), AI, and digital streaming. Vancouver is a major hub for various divisions.	1,500,000+	$130,000 - $250,000+	Hybrid
Deep Seek	Amazon	amazon.jobs/canada	E-commerce, cloud computing, AI, and digital streaming services	10,000+ employees	$150,000 - $260,000	Hybrid
Chat GPT	Apple	https://jobs.apple.com/en-us/search?location=vancouver-VAN	Consumer devices & services — Apple hires software engineers in Vancouver.	Large (10k+)	CA$164k-CA$368k (typical ICT3-ICT4 ranges reported).	Hybrid / on-site roles vary by team.
Gemini	Apple	jobs.apple.com/en-ca/search	Designs, manufactures, and markets consumer electronics, software, and online services.	160,000+	$140,000 - $260,000+	Hybrid
Deep Seek	Apple	apple.com/careers	Consumer electronics, software, and online services	300+ employees	$160,000 - $270,000	Hybrid
Grok	Asana	https://asana.com/jobs	Work management software	1,8	120,000 - 220,000	Hybrid
Deep Seek	Asana	asana.com/jobs	Work management and project collaboration platform	200-500 employees	$140,000 - $220,000	Remote
Gemini	Best Buy Canada	bestbuy-jobs.com	Multinational retailer of consumer electronics. The Canadian headquarters in Burnaby has a large digital/e-commerce team.	90,000+	$90,000 - $150,000	Hybrid
Chat GPT	Blackbird Interactive	https://blackbirdinteractive.com/careers/	Vancouver-based independent game studio (growing mid-sized studio).	Small→Mid (100-500)	CA$70k-CA$140k (game studio engineering ranges).	On-site / hybrid (studio work often requires on-site presence).
Deep Seek	BlackLine	blackline.com/careers	Cloud-based financial close automation software	200-500 employees	$120,000 - $195,000	Hybrid
Claude	Broadcom	broadcom.com/company/careers	Semiconductor and infrastructure software	20,000+	$100K-$180K	Hybrid
Deep Seek	Cisco	cisco.com/careers	Networking hardware, cybersecurity, and collaboration tools	300+ employees	$135,000 - $220,000	Hybrid
Chat GPT	Clio	https://www.clio.com/about/careers/	Vancouver-based legal SaaS company (HQ in Greater Vancouver) — strong local engineering headcount.	Mid (1k-5k)	CA$100k-CA$220k (local SWE ranges reported)	Flexible hybrid (Clio notes most roles are flexible/hybrid).
Claude	Clio	clio.com/careers	Legal practice management software	1,000+	$85K-$135K	Remote/Hybrid
Gemini	Clio	clio.com/careers	A Vancouver-based tech unicorn providing cloud-based legal practice management software.	1,000+	$100,000 - $170,000	Hybrid/Remote
Deep Seek	Clio	clio.com/careers	Cloud-based legal practice management software	900+ employees	$125,000 - $195,000	Hybrid
Chat GPT	D-Wave (D-Wave Quantum)	https://www.dwavequantum.com/company/careers/	Quantum computing hardware & software company headquartered in Burnaby.	Mid (200-500)	CA$119k-CA$148k (reported P1-P3 ranges in Greater Vancouver).	Hybrid / on-site (lab & R&D roles often require presence).
Gemini	Diligent	diligent.com/careers	A SaaS company for governance, risk, and compliance (GRC). Acquired Vancouver-based Galvanize.	2,500+	$100,000 - $165,000	Hybrid
Grok	Dropbox	https://jobs.dropbox.com	File hosting and collaboration	2,7	130,000 - 230,000	Hybrid
Grok	Electronic Arts	https://www.ea.com/careers	Video game developer and publisher	14,5	120,000 - 220,000	Hybrid
Chat GPT	Electronic Arts (EA Vancouver)	https://www.ea.com/careers/locations/vancouver	Major games developer — EA Vancouver (Burnaby) is one of the region’s largest studios.	Large (1k+ locally; global very large)	CA$80k-CA$180k (studio/game engineering ranges).	On-site / hybrid (studio roles often require regular office/studio presence).
Claude	Electronic Arts (EA)	ea.com/careers	Video game development and publishing	13,000+	$85K-$150K	Hybrid
Gemini	Electronic Arts (EA)	ea.com/careers	A leading interactive entertainment software company. The Burnaby campus is one of the world's largest game studios.	13,000+	$100,000 - $180,000	Hybrid
Deep Seek	Electronic Arts (EA)	ea.com/careers	Video game development (FIFA, Apex Legends)	500+ employees	$115,000 - $195,000	Hybrid
Gemini	Fortinet	careers.fortinet.com	A global leader in cybersecurity solutions, with a large R&D and operations center in Burnaby.	13,000+	$105,000 - $175,000	Hybrid/On-site
Deep Seek	Fortinet	fortinet.com/careers	Cybersecurity solutions and firewall appliances	200-500 employees	$125,000 - $200,000	Hybrid
Grok	Fujitsu	https://www.fujitsu.com/global/about/careers	IT services and consulting	124	110,000 - 200,000	Hybrid
Claude	Gameloft	gameloft.com/careers	Mobile game development	4,600+	$70K-$110K	Hybrid
Chat GPT	Google	https://www.google.com/about/careers/applications/locations/vancouver/	Search, cloud & AI company — engineering presence in Vancouver.	Large (10k+)	CA$170k-CA$612k (L3-L6 ranges reported).	Hybrid / team dependent.
Claude	Google	careers.google.com	Search, advertising, cloud services	180,000+	$130K-$250K+	Hybrid
Deep Seek	Grammarly	grammarly.com/jobs	AI-powered writing assistance software	200-400 employees	$130,000 - $210,000	Remote
Chat GPT	Hootsuite	https://careers.hootsuite.com/	Social media management platform — HQ and engineering in Vancouver area.	Mid (500-2k)	CA$80k-CA$170k (typical local engineering pay)	Hybrid / flexible (team dependent).
Claude	Hootsuite	hootsuite.com/careers	Social media management platform	1,000+	$80K-$130K	Remote/Hybrid
Grok	Hootsuite	https://careers.hootsuite.com	Social media management platform	1,5	110,000 - 200,000	Hybrid
Gemini	Hootsuite	hootsuite.com/careers	A social media management platform founded in Vancouver and a long-time pillar of the local tech scene.	1,000+	$95,000 - $160,000	Remote-First
Deep Seek	Hootsuite	hootsuite.com/careers	Social media management SaaS platform	1,300-1,600 employees	$120,000 - $190,000	Hybrid
Claude	IBM	ibm.com/careers	Technology consulting, cloud, AI	280,000+	$90K-$150K	Hybrid/Remote
Grok	Klue	https://klue.com/company/careers	Competitive intelligence platform	100	95,000 - 175,000	Hybrid
Chat GPT	Lululemon	https://careers.lululemon.com/	Retail / apparel brand with a growing tech & digital engineering hub in Vancouver.	Large (10k+)	CA$90k-CA$220k (digital/engineering roles).	Hybrid / role dependent.
Claude	Lululemon	lululemon.com/careers	Athletic apparel (tech division)	29,000+	$85K-$140K	Hybrid
Grok	Lumen5	https://lumen5.com/careers	AI video creation tool	100	90,000 - 170,000	Hybrid
Gemini	Mastercard	mastercard.us/careers	A global technology company in the payments industry with a major global technology hub in Vancouver.	33,000+	$110,000 - $185,000	Hybrid
Chat GPT	Meta (Facebook)	https://www.metacareers.com/locations/vancouver	Social media & AI — engineering teams hire in Vancouver.	Large (10k+)	CA$194k-CA$876k (E4-E7 reported ranges).	Hybrid / team dependent.
Claude	Meta (Facebook)	metacareers.com	Social media, VR/AR, metaverse	67,000+	$125K-$240K+	Remote/Hybrid
Chat GPT	Microsoft	https://careers.microsoft.com/l-vancouver	Software, cloud & AI giant — large engineering campus in downtown Vancouver.	Large (10k+)	CA$96k-CA$394k (varies by level).	Hybrid / downtown campus (many teams expect some office presence).
Claude	Microsoft	careers.microsoft.com	Cloud computing, software, and services	220,000+	$110K-$200K+	Hybrid/Remote
Grok	Microsoft	https://careers.microsoft.com	Software and cloud computing leader	220	140,000 - 280,000	Hybrid
Gemini	Microsoft	careers.microsoft.com	Software, services, and devices. Vancouver hosts teams for Azure, Office, gaming (The Coalition), and more.	220,000+	$125,000 - $240,000+	Hybrid
Deep Seek	Microsoft	careers.microsoft.com	Software, cloud services, and hardware (Office, Azure, Xbox)	1,000+ employees	$140,000 - $230,000	Hybrid
Grok	Motorola Solutions	https://www.motorolasolutions.com/en_us/about/careers.html	Communications and safety tech	20	110,000 - 200,000	Hybrid
Deep Seek	Oracle	oracle.com/careers	Database software, cloud solutions, and enterprise systems	500+ employees	$145,000 - $235,000	Hybrid
Grok	Procurify	https://www.procurify.com/careers	Spend management software	100	90,000 - 170,000	Hybrid
Deep Seek	Procurify	procurify.com/careers	AI-powered spend management software (FinTech)	51-200 employees	$110,000 - $180,000	Hybrid
Chat GPT	RBC (Royal Bank of Canada)	https://jobs.rbc.com/	Major Canadian bank with technology hubs (RBC Borealis/R&D) and Vancouver engineering roles.	Large (10k+)	CA$90k-CA$220k (tech roles / data & cloud engineers)	Hybrid / Vancouver tech hub (many hybrid roles).
Chat GPT	Relic Entertainment	https://www.relic.com/	Vancouver game studio (strategy titles) — local engineering and dev teams.	Small→Mid (100-500)	CA$70k-CA$150k (studio SWE ranges).	On-site / hybrid (studio roles typically on-site or hybrid).
Gemini	Relic Entertainment	relic.com/careers	A veteran video game development studio, owned by Sega, known for its real-time strategy games.	350+	$90,000 - $150,000	Hybrid
Grok	Remitly	https://www.remitly.com/us/en/careers	Digital remittance service	2,7	120,000 - 220,000	Hybrid
Gemini	Riot Games	riotgames.com/en/work-with-us	Video game developer and publisher, best known for League of Legends, with a growing Vancouver studio.	4,500+	$110,000 - $190,000	Hybrid
Chat GPT	Salesforce	https://careers.salesforce.com/en/jobs/	Cloud CRM and enterprise AI — local roles posted in Vancouver.	Large (10k+)	CA$120k-CA$300k (approx; role & level dependent).	Hybrid / role dependent.
Claude	Salesforce	salesforce.com/company/careers	CRM and cloud computing	73,000+	$110K-$180K	Remote/Hybrid
Grok	Salesforce	https://www.salesforce.com/company/careers	CRM and cloud software company	76	140,000 - 260,000	Hybrid
Gemini	Salesforce	salesforce.com/company/careers	Cloud-based software, specializing in customer relationship management (CRM). Includes Slack and Tableau.	70,000+	$120,000 - $220,000	Hybrid
Deep Seek	Salesforce	salesforce.careers	Customer relationship management (CRM) software	500+ employees	$145,000 - $240,000	Hybrid
Claude	Samsung Research	samsung.com/ca/careers	Consumer electronics R&D	267,000+	$90K-$150K	Hybrid
Claude	SAP	jobs.sap.com	Enterprise software solutions	110,000+	$95K-$160K	Hybrid
Grok	SAP	https://jobs.sap.com	Enterprise software provider	107	130,000 - 240,000	Hybrid
Gemini	SAP	jobs.sap.com	Enterprise application software. The Yaletown office is one of SAP's largest R&D centers globally.	105,000+	$110,000 - $190,000	Hybrid
Chat GPT	SAP (Canada)	https://www.sap.com/canada/index.html	Enterprise software (ERP/Cloud) — SAP has Canadian engineering & offices; hires engineers in Vancouver area.	Large (10k+ global)	CA$100k-CA$220k (enterprise/engineering roles).	Hybrid / role dependent.
Deep Seek	SAP Concur	concur.com/careers	Travel and expense management software	300+ employees	$130,000 - $210,000	Hybrid
Deep Seek	SAP Labs	sap.com/careers	Enterprise application software (CRM, ERP)	1,000+ employees	$130,000 - $215,000	Hybrid
Chat GPT	Scotiabank	https://www.scotiabank.com/careers/en/careers/technology.html	Major Canadian bank with technology & engineering roles across Canada including Vancouver.	Large (10k+)	CA$90k-CA$200k (tech salary ranges)	Hybrid / role dependent.
Chat GPT	Shopify	https://www.shopify.com/careers	E-commerce platform — engineering teams hiring across Canada including Vancouver.	Large (10k+)	CA$104k-CA$438k (countrywide ranges; local L4-L7 data).	Remote / hybrid (role dependent).
Claude	Shopify	shopify.com/careers	E-commerce platform	12,000+	$100K-$170K	Remote
Claude	Sierra Systems (NTT Data)	nttdata.com/careers	IT consulting and solutions	1,500+	$80K-$130K	Hybrid
Chat GPT	Sierra Wireless (now part of Semtech)	https://www.sierrawireless.com/careers/	IoT hardware & connectivity company with offices in the Vancouver region.	Mid (500-2k)	CA$80k-CA$160k (typical engineering ranges).	Hybrid / role dependent.
Claude	Slack (Salesforce)	slack.com/careers	Business communication platform	2,500+	$105K-$165K	Remote/Hybrid
Grok	Splunk	https://www.splunk.com/en_us/careers.html	Data analytics and security software	7	130,000 - 230,000	Hybrid
Deep Seek	Splunk	splunk.com/careers	Data analytics and monitoring software	300+ employees	$145,000 - $235,000	Hybrid
Grok	Take-Two Interactive	https://www.take2games.com/careers	Video game holding company	6,5	120,000 - 210,000	Hybrid
Claude	Telus	telus.com/careers	Telecommunications, digital services	67,000+	$75K-$120K	Hybrid
Gemini	Telus	telus.com/careers	A Canadian telecommunications company with a large TELUS Digital team developing customer-facing applications.	108,000+	$95,000 - $160,000	Hybrid/Remote
Chat GPT	TELUS (TELUS Digital)	https://careers.telus.com/	Large Canadian telco with a big TELUS Digital engineering organisation in Vancouver.	Large (10k+)	CA$90k-CA$200k (typical local engineering ranges).	Hybrid / remote options vary by role.
Claude	Thinkific	thinkific.com/careers	Online course platform	500+	$85K-$140K	Remote
Grok	Thinkific	https://www.thinkific.com/careers	Online course creation platform	400	100,000 - 180,000	Hybrid
Gemini	Thinkific	thinkific.com/careers	A software platform that enables entrepreneurs to create, market, and sell their own online courses.	500+	$95,000 - $160,000	Remote-First
Deep Seek	TikTok	careers.tiktok.com	Social media/video platform and e-commerce solutions	500+ employees	$135,000 - $225,000	On-site
Grok	Toast	https://pos.toasttab.com/careers	Restaurant management software	4,5	110,000 - 200,000	Hybrid
Grok	Trulioo	https://www.trulioo.com/company/careers	Identity verification platform	200	100,000 - 190,000	Hybrid
Gemini	Trulioo	trulioo.com/company/careers	A Vancouver-based tech company providing global identity and business verification services.	500+	$100,000 - $170,000	Hybrid
Claude	Unity Technologies	unity.com/careers	Game development platform	7,000+	$95K-$160K	Remote/Hybrid
Gemini	Unity Technologies	careers.unity.com	Creator of the world's leading real-time 3D development platform, widely used for gaming and simulations.	7,000+	$115,000 - $200,000	Hybrid
Gemini	Visier	visier.com/careers	A Vancouver-founded company specializing in people analytics and workforce planning software.	500+	$100,000 - $165,000	Hybrid